Topic 0
Topic coherence: -52.0407424539
AVG: -1.15646094342
SD:  0.490400647584
dlrs profit  0.0365755753604     -1.90342009743/-52.0407424539
billion loss  0.0348480993064     -1.81352096101/-52.0407424539
profit share  0.033963334162     -1.767477126/-52.0407424539
lt profit  0.033493755889     -1.74303992403/-52.0407424539
billion profit  0.0329750800349     -1.71604764749/-52.0407424539
mln profit  0.0316952289547     -1.64944324705/-52.0407424539
billion net  0.0311743595948     -1.62233681883/-52.0407424539
profit sale  0.0301077909776     -1.56683179612/-52.0407424539
billion mln  0.0298656522839     -1.55423071873/-52.0407424539
profit year  0.0293600933176     -1.52792105476/-52.0407424539
sale share  0.028765682108     -1.49698745409/-52.0407424539
billion sale  0.0286367162247     -1.49027597377/-52.0407424539
lt sale  0.0286284160718     -1.48984402765/-52.0407424539
dlrs loss  0.028248644874     -1.47008045256/-52.0407424539
loss mln  0.0280922888616     -1.46194356959/-52.0407424539
sale year  0.027777275826     -1.44555005733/-52.0407424539
share year  0.0276436782064     -1.43859753801/-52.0407424539
billion share  0.0274628726341     -1.42918828179/-52.0407424539
dlrs sale  0.0265882904634     -1.38367437629/-52.0407424539
mln sale  0.0263434572859     -1.37093307596/-52.0407424539
billion dlrs  0.0262440110443     -1.36575781971/-52.0407424539
billion year  0.026211717616     -1.36407724573/-52.0407424539
net share  0.0260810486351     -1.35727713495/-52.0407424539
loss share  0.0254832777339     -1.32616869343/-52.0407424539
net sale  0.0247088054778     -1.28586458221/-52.0407424539
loss sale  0.0246969655512     -1.28524842364/-52.0407424539
mln share  0.0240905900559     -1.25369219266/-52.0407424539
net profit  0.0231152390639     -1.20293420288/-52.0407424539
lt share  0.0206507338632     -1.07467952246/-52.0407424539
dlrs share  0.0202458892241     -1.05361110686/-52.0407424539
dlrs net  0.0187787145164     -0.977258245765/-52.0407424539
net year  0.017528373369     -0.91218956413/-52.0407424539
dlrs year  0.0153220119866     -0.797368879669/-52.0407424539
mln year  0.014492692831     -0.754210495079/-52.0407424539
mln net  0.0144842630377     -0.753771802376/-52.0407424539
billion lt  0.0143342832146     -0.745966741032/-52.0407424539
loss profit  0.0129346182738     -0.673127138327/-52.0407424539
lt year  0.0107968986161     -0.561878620183/-52.0407424539
loss year  0.00875518013248     -0.455626074411/-52.0407424539
dlrs mln  0.00687406957119     -0.357731684164/-52.0407424539
dlrs lt  0.00655558774541     -0.341157653493/-52.0407424539
lt mln  0.00637533933362     -0.331777392317/-52.0407424539
loss net  0.0048991495303     -0.254955378949/-52.0407424539
loss lt  0.00264305462008     -0.137546524775/-52.0407424539
lt net  0.0014511925192     -0.0755211361426/-52.0407424539

Topic 1
Topic coherence: -62.6587658225
AVG: -1.39241701828
SD:  0.564427011829
dlrs stake  0.0412116315953     -2.58226997329/-62.6587658225
lt stake  0.0401301392556     -2.51450499804/-62.6587658225
lt offer  0.037581995659     -2.35484146514/-62.6587658225
lt price  0.0357515758992     -2.24014962205/-62.6587658225
offer stake  0.0346545292158     -2.17141003082/-62.6587658225
