Topic 0
Topic coherence: -297.927108147
AVG: -1.5680374113
SD:  0.633567675076
share year  0.00482868963138     -1.43859753801/-297.927108147
billion share  0.0047971072209     -1.42918828179/-297.927108147
dlrs include  0.00468611497668     -1.39612068344/-297.927108147
gain include  0.00465104463215     -1.38567227712/-297.927108147
dlrs sale  0.00464433862666     -1.38367437629/-297.927108147
note share  0.00462287402644     -1.37727949002/-297.927108147
mln sale  0.00460157212443     -1.37093307596/-297.927108147
lt note  0.00459012577001     -1.36752289669/-297.927108147
include sale  0.00458637084467     -1.36640420264/-297.927108147
billion dlrs  0.00458420124376     -1.36575781971/-297.927108147
billion year  0.00457856035396     -1.36407724573/-297.927108147
net share  0.00455573560724     -1.35727713495/-297.927108147
gain quarter  0.00452087700791     -1.34689181325/-297.927108147
include net  0.00451086160042     -1.34390795186/-297.927108147
earnings note  0.00449444094261     -1.33901579277/-297.927108147
dlrs note  0.00447920475795     -1.33447652033/-297.927108147
company loss  0.00447615193262     -1.33356700091/-297.927108147
loss share  0.0044513193233     -1.32616869343/-297.927108147
note year  0.00439651434726     -1.3098408054/-297.927108147
include oper  0.0043852618044     -1.30648836785/-297.927108147
note sale  0.00432505818072     -1.28855207635/-297.927108147
net sale  0.00431603753755     -1.28586458221/-297.927108147
loss sale  0.00431396938545     -1.28524842364/-297.927108147
earnings quarter  0.00431380095703     -1.28519824425/-297.927108147
mln note  0.00427422688639     -1.27340805582/-297.927108147
mln share  0.00420805008466     -1.25369219266/-297.927108147
company year  0.0041030388729     -1.22240650601/-297.927108147
net profit  0.00403767958668     -1.20293420288/-297.927108147
include profit  0.00403561311258     -1.20231854423/-297.927108147
ct year  0.00397740343605     -1.18497630364/-297.927108147
company mln  0.00392206712318     -1.16849011597/-297.927108147
include quarter  0.00392164826725     -1.16836532743/-297.927108147
company include  0.00390539905309     -1.16352424605/-297.927108147
billion company  0.00383149494667     -1.14150620934/-297.927108147
ct dlrs  0.00381894159671     -1.13776622609/-297.927108147
ct share  0.00376660450601     -1.12217358801/-297.927108147
lt share  0.00360718945363     -1.07467952246/-297.927108147
dlrs share  0.00353647277489     -1.05361110686/-297.927108147
ct sale  0.00348755991209     -1.0390386391/-297.927108147
company profit  0.00346707681699     -1.03293616981/-297.927108147
include loss  0.00346515263263     -1.03236290313/-297.927108147
company dlrs  0.00333379506887     -0.993227924022/-297.927108147
ct mln  0.00332349945126     -0.990160580441/-297.927108147
note operation  0.00331719996637     -0.988283793123/-297.927108147
dlrs net  0.00328019243312     -0.977258245765/-297.927108147
note quarter  0.00326320880923     -0.972198363812/-297.927108147
company lt  0.00318745733074     -0.949629944888/-297.927108147
oper operation  0.00318045337087     -0.947543275378/-297.927108147
company sale  0.00313603298199     -0.934309237377/-297.927108147
ct note  0.00311877929068     -0.929168895021/-297.927108147
note profit  0.00310485603958     -0.925020781084/-297.927108147
net year  0.00306178772991     -0.91218956413/-297.927108147
include note  0.00285723156683     -0.851246738012/-297.927108147
company quarter  0.00269523360771     -0.802983154524/-297.927108147
dlrs year  0.00267638914978     -0.797368879669/-297.927108147
mln year  0.00253152692204     -0.754210495079/-297.927108147
mln net  0.0025300544387     -0.753771802376/-297.927108147
net note  0.00251425080686     -0.749063472044/-297.927108147
ct lt  0.00250896624965     -0.747489059197/-297.927108147
billion lt  0.00250385654959     -0.745966741032/-297.927108147
ct quarter  0.00248082319948     -0.739104481645/-297.927108147
loss note  0.00245829925057     -0.732393986682/-297.927108147
loss profit  0.00225936854996     -0.673127138327/-297.927108147
ct profit  0.00216915795401     -0.646250956351/-297.927108147
gain oper  0.00205869546785     -0.613341187292/-297.927108147
company share  0.00204223878095     -0.608438294154/-297.927108147
lt year  0.00188596003794     -0.561878620183/-297.927108147
gain note  0.001639168624     -0.488352767914/-297.927108147
loss year  0.00152932063566     -0.455626074411/-297.927108147
ct loss  0.00135439193762     -0.403510073272/-297.927108147
dlrs mln  0.00120073559734     -0.357731684164/-297.927108147
dlrs lt  0.00114510443717     -0.341157653493/-297.927108147
lt mln  0.00111361934931     -0.331777392317/-297.927108147
ct net  0.00103491832958     -0.308330225098/-297.927108147
loss net  0.000855764285886     -0.254955378949/-297.927108147
loss lt  0.00046167844756     -0.137546524775/-297.927108147
lt net  0.000253488635567     -0.0755211361426/-297.927108147
note oper  0.000235266865296     -0.0700923768204/-297.927108147

Topic 1
Topic coherence: -328.370720479
AVG: -1.72826694989
SD:  0.670601766362
oil outstanding  0.0119566313181     -3.92620764042/-328.370720479
mln tender  0.0106031262876     -3.48175621838/-328.370720479
lt tender  0.00982472550428     -3.22615219235/-328.370720479
bid mln  0.0095580841953     -3.13859499361/-328.370720479
bid lt  0.00926108210385     -3.04106820286/-328.370720479
