Topic 0
Topic coherence: -79.0087313903
AVG: -1.75574958645
SD:  1.16281162322
gencorp p  0.0244780077719     -3.76120011569/-153.656300412
barrel gencorp  0.0244780077719     -3.76120011569/-153.656300412
gencorp mobil  0.0244780077719     -3.76120011569/-153.656300412
gencorp reichhold  0.0244780077719     -3.76120011569/-153.656300412
crude mobil  0.0236925258519     -3.64050586983/-153.656300412
barrel mobil  0.0229304949093     -3.52341501439/-153.656300412
bell foot  0.0219144663834     -3.36729582999/-153.656300412
bell p  0.0219144663834     -3.36729582999/-153.656300412
bell mobil  0.0219144663834     -3.36729582999/-153.656300412
bell reichhold  0.0219144663834     -3.36729582999/-153.656300412
p reichhold  0.021449409215     -3.295836866/-153.656300412
crude foot  0.021299361503     -3.2727810897/-153.656300412
bbl mobil  0.0212037939823     -3.25809653802/-153.656300412
bbl reichhold  0.0212037939823     -3.25809653802/-153.656300412
foot mobil  0.0209485443566     -3.21887582487/-153.656300412
mobil reichhold  0.0209485443566     -3.21887582487/-153.656300412
foot oil  0.0201718319321     -3.09952906724/-153.656300412
bell oil  0.0174034428933     -2.67414864943/-153.656300412
bbl bell  0.0174034428933     -2.67414864943/-153.656300412
barrel bell  0.0174034428933     -2.67414864943/-153.656300412
mobil p  0.0169383857249     -2.60268968544/-153.656300412
bbl crude  0.0165427227802     -2.54189358116/-153.656300412
bbl p  0.0140539909106     -2.15948424935/-153.656300412
barrel p  0.00978858265322     -1.50407739678/-153.656300412
barrel oil  0.0079278066441     -1.21815743932/-153.656300412
barrel foot  0.00612801777298     -0.941608539858/-153.656300412
barrel bbl  0.00451102349008     -0.69314718056/-153.656300412
barrel crude  0.00344576010449     -0.529462749765/-153.656300412
crude oil  0.000828494695299     -0.127303429791/-153.656300412

Topic 3
Topic coherence: -137.463416307
AVG: -3.0547425846
SD:  2.23242320914
cra ct  0.0584515883597     -8.0349550245/-137.463416307
ct hoechst  0.0584515883597     -8.0349550245/-137.463416307
champion ct  0.0584515883597     -8.0349550245/-137.463416307
ct debit  0.0534091763553     -7.34180784394/-137.463416307
champion mln  0.0516458004168     -7.0994081632/-137.463416307
champion div  0.0464255595332     -6.38181601741/-137.463416307
crown qtrly  0.0303672597556     -4.1743872699/-137.463416307
crown siemens  0.0303672597556     -4.1743872699/-137.463416307
crown debit  0.0303672597556     -4.1743872699/-137.463416307
cra crown  0.0303672597556     -4.1743872699/-137.463416307
crown hoechst  0.0303672597556     -4.1743872699/-137.463416307
crown div  0.0303672597556     -4.1743872699/-137.463416307
champion crown  0.0303672597556     -4.1743872699/-137.463416307
qtrly siemens  0.0276921859796     -3.80666248977/-137.463416307
debit qtrly  0.0276921859796     -3.80666248977/-137.463416307
cra qtrly  0.0276921859796     -3.80666248977/-137.463416307
hoechst qtrly  0.0276921859796     -3.80666248977/-137.463416307
champion qtrly  0.0276921859796     -3.80666248977/-137.463416307
cra debit  0.0247425640438     -3.40119738166/-137.463416307
debit hoechst  0.0247425640438     -3.40119738166/-137.463416307
champion debit  0.0247425640438     -3.40119738166/-137.463416307
crown ct  0.0223752258154     -3.07577498123/-137.463416307
ct siemens  0.0186591416565     -2.56494935746/-137.463416307
debit siemens  0.0186591416565     -2.56494935746/-137.463416307
cra siemens  0.0186591416565     -2.56494935746/-137.463416307
hoechst siemens  0.0186591416565     -2.56494935746/-137.463416307
div siemens  0.0186591416565     -2.56494935746/-137.463416307
champion siemens  0.0186591416565     -2.56494935746/-137.463416307
div hoechst  0.0167505301036     -2.30258509299/-137.463416307
champion hoechst  0.0167505301036     -2.30258509299/-137.463416307
mln qtrly  0.0159840678805     -2.19722457734/-137.463416307
ct div  0.0131412711065     -1.80644402091/-137.463416307
cra hoechst  0.0117081180991     -1.60943791243/-137.463416307
champion cra  0.0117081180991     -1.60943791243/-137.463416307
div mln  0.0114185410504     -1.56963166203/-137.463416307
ct mln  0.0039240482676     -0.539413080618/-137.463416307
cra div  0.00371608415889     -0.510825623766/-137.463416307
crown mln  0.00353190564315     -0.485507815782/-137.463416307
hoechst mln  0.00259468994385     -0.356674943939/-137.463416307
mln siemens  0.00190861155292     -0.262364264467/-137.463416307
debit div  0.00132632784556     -0.182321556794/-137.463416307
div qtrly  0.000677201437057     -0.093090423066/-137.463416307
ct qtrly  -0.0     0.0/-137.463416307
debit mln  -0.000238534904078     0.032789822823/-137.463416307
cra mln  -0.00132632784556     0.182321556794/-137.463416307

Topic 4
Topic coherence: -34.0097639461
AVG: -0.755772532134
SD:  0.604064436871
ct oper  0.0679619513448     -2.31136992255/-34.0097639461
oper profit  0.0674130034363     -2.29270033376/-34.0097639461
net oper  0.0659924626725     -2.24438807771/-34.0097639461
oper shr  0.0586007650131     -1.99299818515/-34.0097639461
oper rev  0.0551389064049     -1.87526119107/-34.0097639461
loss oper  0.054893698783     -1.86692173774/-34.0097639461
ct profit  0.0465891090827     -1.58448460236/-34.0097639461
net profit  0.0353702602814     -1.20293420288/-34.0097639461
mln qtr  0.0340274390985     -1.15726517143/-34.0097639461
profit rev  0.0301673264219     -1.02598365049/-34.0097639461
ct rev  0.024450316819     -0.831549503419/-34.0097639461
ct dlrs  0.024450316819     -0.831549503419/-34.0097639461
profit qtr  0.0236741495829     -0.805152238936/-34.0097639461
loss rev  0.0223437610293     -0.759906038272/-34.0097639461
net rev  0.0205749783978     -0.699750158503/-34.0097639461
dlrs shr  0.0198349288018     -0.674581246437/-34.0097639461
loss profit  0.0197921731946     -0.673127138327/-34.0097639461
dlrs rev  0.019619146116     -0.667242528228/-34.0097639461
dlrs profit  0.0193758983392     -0.658969728758/-34.0097639461
dlrs qtr  0.0192408589231     -0.654377070095/-34.0097639461
profit shr  0.018132346274     -0.616676816568/-34.0097639461
dlrs net  0.0177613605086     -0.604059678257/-34.0097639461
loss qtr  0.0167582139939     -0.569942902091/-34.0097639461
ct mln  0.0158605358589     -0.539413080618/-34.0097639461
dlrs mln  0.0147681842813     -0.502262461318/-34.0097639461
ct qtr  0.0147230277465     -0.500726698228/-34.0097639461
rev shr  0.0147044269337     -0.500094088976/-34.0097639461
dlrs loss  0.0136399236701     -0.463890584261/-34.0097639461
net qtr  0.0130060651207     -0.442333204621/-34.0097639461
ct loss  0.0118645361348     -0.403510073272/-34.0097639461
loss shr  0.0117213146104     -0.398639143038/-34.0097639461
ct shr  0.0113560104727     -0.386215235546/-34.0097639461
ct net  0.0110354211965     -0.375312069937/-34.0097639461
loss mln  0.00915098748192     -0.311222924133/-34.0097639461
mln shr  0.00786377978361     -0.267445294164/-34.0097639461
net shr  0.00767163584864     -0.260910524292/-34.0097639461
mln profit  0.00765845072112     -0.260462101218/-34.0097639461
loss net  0.00749653479964     -0.254955378949/-34.0097639461
oper qtr  0.00748008998892     -0.254396094818/-34.0097639461
qtr rev  0.00710943126741     -0.241790079195/-34.0097639461
mln net  0.00694043210911     -0.236042457714/-34.0097639461
qtr shr  0.00680321717944     -0.231375810346/-34.0097639461
mln rev  0.00596815006719     -0.20297537498/-34.0097639461
dlrs oper  0.00578000259694     -0.196576523929/-34.0097639461
mln oper  0.00523447079245     -0.178023116034/-34.0097639461

Topic 5
Topic coherence: -54.8399773903
AVG: -1.21866616423
SD:  0.982457321072
div rev  0.0763475172462     -4.18689611959/-54.8399773903
div loss  0.0679078319038     -3.72406396623/-54.8399773903
div mln  0.066986135731     -3.67351816895/-54.8399773903
div net  0.0590916611414     -3.24058536095/-54.8399773903
div shr  0.0539259546948     -2.95729813621/-54.8399773903
div dlrs  0.0446752624868     -2.44999038468/-54.8399773903
div profit  0.0399737815313     -2.19216127538/-54.8399773903
div qtr  0.0351471465321     -1.92746872115/-54.8399773903
ct div  0.0329402765441     -1.80644402091/-54.8399773903
mln profit  0.0300773874378     -1.64944324705/-54.8399773903
ct profit  0.0288928748289     -1.58448460236/-54.8399773903
loss mln  0.0266583547105     -1.46194356959/-54.8399773903
mln rev  0.0257246518597     -1.41073932636/-54.8399773903
dlrs qtr  0.024989829213     -1.37044166903/-54.8399773903
profit shr  0.0233638794178     -1.28127461902/-54.8399773903
profit rev  0.022013153586     -1.20720084494/-54.8399773903
net profit  0.0219353519116     -1.20293420288/-54.8399773903
mln qtr  0.0211025829422     -1.15726517143/-54.8399773903
ct loss  0.0201218758908     -1.1034832189/-54.8399773903
mln shr  0.0180858688267     -0.991828637541/-54.8399773903
loss net  0.0161915945629     -0.88794667974/-54.8399773903
ct rev  0.0151631992388     -0.831549503419/-54.8399773903
ct dlrs  0.0151631992388     -0.831549503419/-54.8399773903
profit qtr  0.0146818484845     -0.805152238936/-54.8399773903
loss rev  0.0138567897806     -0.759906038272/-54.8399773903
mln net  0.0137449327707     -0.753771802376/-54.8399773903
net rev  0.0127598549781     -0.699750158503/-54.8399773903
dlrs shr  0.0123009030736     -0.674581246437/-54.8399773903
loss profit  0.0122743875975     -0.673127138327/-54.8399773903
dlrs rev  0.0121670824822     -0.667242528228/-54.8399773903
dlrs profit  0.012016229038     -0.658969728758/-54.8399773903
dlrs net  0.0110149512637     -0.604059678257/-54.8399773903
loss qtr  0.0103928361975     -0.569942902091/-54.8399773903
ct mln  0.00983612879303     -0.539413080618/-54.8399773903
dlrs mln  0.00915869198384     -0.502262461318/-54.8399773903
ct qtr  0.00913068753957     -0.500726698228/-54.8399773903
rev shr  0.00911915199047     -0.500094088976/-54.8399773903
dlrs loss  0.00845898569505     -0.463890584261/-54.8399773903
net qtr  0.00806588962416     -0.442333204621/-54.8399773903
loss shr  0.00726913397868     -0.398639143038/-54.8399773903
ct shr  0.00704258560862     -0.386215235546/-54.8399773903
ct net  0.00684376777303     -0.375312069937/-54.8399773903
net shr  0.00475767016524     -0.260910524292/-54.8399773903
qtr rev  0.00440901128522     -0.241790079195/-54.8399773903
qtr shr  0.00421910841975     -0.231375810346/-54.8399773903

Topic 6
Topic coherence: -81.7629118509
AVG: -1.81695359669
SD:  0.545437354957
billion tonne  0.0418984853415     -3.42574216367/-81.7629118509
bank tonne  0.0415225599793     -3.39500541141/-81.7629118509
pct tonne  0.0324071024087     -2.64969905759/-81.7629118509
february tonne  0.0319619834269     -2.61330483351/-81.7629118509
bank oil  0.0312141387705     -2.5521588768/-81.7629118509
january u.s.  0.0296125536796     -2.42120861618/-81.7629118509
january tonne  0.0285475822459     -2.33413345073/-81.7629118509
february u.s.  0.0261769814977     -2.14030623072/-81.7629118509
bank january  0.0259401386836     -2.12094127259/-81.7629118509
january pct  0.0253869690564     -2.07571251312/-81.7629118509
february pct  0.0252361596958     -2.06338190066/-81.7629118509
january trade  0.0250775035109     -2.050409709/-81.7629118509
billion february  0.0248879669439     -2.03491264738/-81.7629118509
oil pct  0.0245370846195     -2.00622348682/-81.7629118509
billion oil  0.0245065846431     -2.00372971994/-81.7629118509
january oil  0.0244068549261     -1.99557552788/-81.7629118509
billion january  0.0243997675084     -1.99499603998/-81.7629118509
oil trade  0.0240194535839     -1.96390046609/-81.7629118509
bank february  0.023966281057     -1.95955292546/-81.7629118509
oil tonne  0.023799423296     -1.94591014906/-81.7629118509
february oil  0.0236569306064     -1.93425953184/-81.7629118509
february trade  0.0236205981023     -1.9312888805/-81.7629118509
pct trade  0.0222225633365     -1.81698148718/-81.7629118509
bank u.s.  0.0219906554638     -1.79802002423/-81.7629118509
oil u.s.  0.0208088624784     -1.70139318854/-81.7629118509
oil rise  0.0204200950786     -1.6696064339/-81.7629118509
rise tonne  0.0202278715076     -1.653889675/-81.7629118509
bank trade  0.019589760566     -1.60171586634/-81.7629118509
bank pct  0.0177251112302     -1.44925670706/-81.7629118509
january rise  0.0176719940972     -1.4449136956/-81.7629118509
billion trade  0.0173594623861     -1.41936019286/-81.7629118509
pct u.s.  0.0171701658177     -1.40388275422/-81.7629118509
february rise  0.0170446522716     -1.39362040121/-81.7629118509
rise u.s.  0.0167859500902     -1.37246815755/-81.7629118509
tonne trade  0.0167292512866     -1.36783229828/-81.7629118509
billion pct  0.0167137515076     -1.36656499121/-81.7629118509
bank rise  0.0163409745971     -1.33608566554/-81.7629118509
rise trade  0.0160243194368     -1.31019501758/-81.7629118509
pct rise  0.0155467043514     -1.27114381746/-81.7629118509
billion u.s.  0.0151245985877     -1.2366312211/-81.7629118509
trade u.s.  0.0143569460601     -1.17386571516/-81.7629118509
bank billion  0.0143290354766     -1.17158366458/-81.7629118509
billion rise  0.0141207535128     -1.15455392473/-81.7629118509
tonne u.s.  0.0129597940143     -1.0596304956/-81.7629118509
february january  0.0119536232616     -0.977363045035/-81.7629118509

Topic 7
Topic coherence: -125.884853937
AVG: -2.79744119861
SD:  1.42638445836
ferruzzi mln  0.0476689266965     -6.00079587454/-125.884853937
cyacq unemployment  0.0350059527373     -4.40671924726/-125.884853937
cpc unemployment  0.0350059527373     -4.40671924726/-125.884853937
unemployment yr  0.0350059527373     -4.40671924726/-125.884853937
thailand unemployment  0.0350059527373     -4.40671924726/-125.884853937
unemployment unknown  0.0350059527373     -4.40671924726/-125.884853937
ferruzzi unemployment  0.0350059527373     -4.40671924726/-125.884853937
ferruzzi thailand  0.0321170588945     -4.04305126783/-125.884853937
cyclops unemployment  0.0291024816056     -3.66356164613/-125.884853937
cpc cyclops  0.0291024816056     -3.66356164613/-125.884853937
cyclops yr  0.0291024816056     -3.66356164613/-125.884853937
cyclops thailand  0.0291024816056     -3.66356164613/-125.884853937
cyclops unknown  0.0291024816056     -3.66356164613/-125.884853937
cyclops ferruzzi  0.0291024816056     -3.66356164613/-125.884853937
thailand yr  0.0286842920312     -3.61091791264/-125.884853937
unknown yr  0.0286842920312     -3.61091791264/-125.884853937
ferruzzi yr  0.0286842920312     -3.61091791264/-125.884853937
dixons unemployment  0.0270183209122     -3.40119738166/-125.884853937
cpc dixons  0.0270183209122     -3.40119738166/-125.884853937
dixons yr  0.0270183209122     -3.40119738166/-125.884853937
dixons thailand  0.0270183209122     -3.40119738166/-125.884853937
dixons unknown  0.0270183209122     -3.40119738166/-125.884853937
dixons ferruzzi  0.0270183209122     -3.40119738166/-125.884853937
ferruzzi unknown  0.0237974004009     -2.99573227355/-125.884853937
thailand unknown  0.0233899384006     -2.94443897917/-125.884853937
cpc cyacq  0.0229604409704     -2.8903717579/-125.884853937
cyacq yr  0.0229604409704     -2.8903717579/-125.884853937
cpc yr  0.0229604409704     -2.8903717579/-125.884853937
cyacq thailand  0.0229604409704     -2.8903717579/-125.884853937
cyacq unknown  0.0229604409704     -2.8903717579/-125.884853937
cpc unknown  0.0229604409704     -2.8903717579/-125.884853937
cyacq ferruzzi  0.0229604409704     -2.8903717579/-125.884853937
cpc thailand  0.0119480410052     -1.50407739678/-125.884853937
mln unemployment  0.0104514304363     -1.31567679391/-125.884853937
cyclops mln  0.00813842399996     -1.02450431651/-125.884853937
